X,metric,NP,QB,OVL,latency,interval,ns_scan,ns_per_query,ns_per_cmp,traffic_per_query_bits,ref_footprint_bits,estimated_ns,fmax_MHz,meets_300,LUT,FF,DSP,BRAM18K,BRAM_pct,status
1,Hamming/argmin,32,1,0,1762,1763,4289.4,4289.4,134.04,327680,10240,2.433,411.0,yes,8425,14047,0,44,7.1,ok
1,Hamming/argmin,32,1,1,688,681,1656.9,1656.9,51.78,327680,10240,2.433,411.0,yes,9434,15778,0,87,13.9,ok
1,Hamming/argmin,32,4,0,1827,1828,4447.5,1111.9,34.75,81920,10240,2.433,411.0,yes,26234,48866,0,44,7.1,ok
1,Hamming/argmin,32,4,1,755,748,1819.9,455.0,14.22,81920,10240,2.433,411.0,yes,29861,54310,0,87,13.9,ok
1,Hamming/argmin,64,1,0,3490,3491,8493.6,8493.6,132.71,655360,10240,2.433,411.0,yes,8427,14049,0,44,7.1,ok
1,Hamming/argmin,64,1,1,1328,1321,3214.0,3214.0,50.22,655360,10240,2.433,411.0,yes,9439,15781,0,87,13.9,ok
1,Hamming/argmin,64,4,0,3555,3556,8651.7,2162.9,33.8,163840,10240,2.433,411.0,yes,26236,48868,0,44,7.1,ok
1,Hamming/argmin,64,4,1,1395,1388,3377.0,844.2,13.19,163840,10240,2.433,411.0,yes,29866,54313,0,87,13.9,ok
1,Hamming/argmin,128,1,0,6946,6947,16902.1,16902.1,132.05,1310720,10240,2.433,411.0,yes,8429,14051,0,44,7.1,ok
1,Hamming/argmin,128,1,1,2608,2601,6328.2,6328.2,49.44,1310720,10240,2.433,411.0,yes,9444,15784,0,87,13.9,ok
1,Hamming/argmin,128,4,0,7011,7012,17060.2,4265.1,33.32,327680,10240,2.433,411.0,yes,26238,48870,0,44,7.1,ok
1,Hamming/argmin,128,4,1,2675,2668,6491.2,1622.8,12.68,327680,10240,2.433,411.0,yes,29871,54316,0,87,13.9,ok
1,Hamming/argmin,256,1,0,13858,13859,33718.9,33718.9,131.71,2621440,10240,2.433,411.0,yes,8431,14053,0,44,7.1,ok
1,Hamming/argmin,256,1,1,5168,5161,12556.7,12556.7,49.05,2621440,10240,2.433,411.0,yes,9449,15787,0,87,13.9,ok
1,Hamming/argmin,256,4,0,13923,13924,33877.1,8469.3,33.08,655360,10240,2.433,411.0,yes,26240,48872,0,44,7.1,ok
1,Hamming/argmin,256,4,1,5235,5228,12719.7,3179.9,12.42,655360,10240,2.433,411.0,yes,29876,54319,0,87,13.9,ok
32,dot/argmax,32,1,0,41410,41411,100753.0,100753.0,3148.53,10485760,327680,2.433,411.0,yes,5651,4429,0,58,9.3,ok
32,dot/argmax,32,1,1,20521,20514,52823.6,52823.6,1650.74,10485760,327680,2.575,388.3,yes,6065,4664,0,87,13.9,ok
32,dot/argmax,32,4,0,41475,41476,100911.1,25227.8,788.37,2621440,327680,2.433,411.0,yes,13134,7155,0,58,9.3,ok
32,dot/argmax,32,4,1,20589,20582,50076.0,12519.0,391.22,2621440,327680,2.433,411.0,yes,14089,8031,0,87,13.9,ok
32,dot/argmax,64,1,0,82786,82787,201420.8,201420.8,3147.2,20971520,327680,2.433,411.0,yes,5653,4431,0,58,9.3,ok
32,dot/argmax,64,1,1,41001,40994,105559.6,105559.6,1649.37,20971520,327680,2.575,388.3,yes,6070,4667,0,87,13.9,ok
32,dot/argmax,64,4,0,82851,82852,201578.9,50394.7,787.42,5242880,327680,2.433,411.0,yes,13136,7157,0,58,9.3,ok
32,dot/argmax,64,4,1,41069,41062,99903.8,24976.0,390.25,5242880,327680,2.433,411.0,yes,14094,8034,0,87,13.9,ok
32,dot/argmax,128,1,0,165538,165539,402756.4,402756.4,3146.53,41943040,327680,2.433,411.0,yes,5655,4433,0,58,9.3,ok
32,dot/argmax,128,1,1,81961,81954,211031.6,211031.6,1648.68,41943040,327680,2.575,388.3,yes,6075,4670,0,87,13.9,ok
32,dot/argmax,128,4,0,165603,165604,402914.5,100728.6,786.94,10485760,327680,2.433,411.0,yes,13138,7159,0,58,9.3,ok
32,dot/argmax,128,4,1,82029,82022,199559.5,49889.9,389.76,10485760,327680,2.433,411.0,yes,14099,8037,0,87,13.9,ok
32,dot/argmax,256,1,0,331042,331043,805427.6,805427.6,3146.2,83886080,327680,2.433,411.0,yes,5657,4435,0,58,9.3,ok
32,dot/argmax,256,1,1,163881,163874,421975.6,421975.6,1648.34,83886080,327680,2.575,388.3,yes,6080,4673,0,87,13.9,ok
32,dot/argmax,256,4,0,331107,331108,805585.8,201396.5,786.7,20971520,327680,2.433,411.0,yes,13140,7161,0,58,9.3,ok
32,dot/argmax,256,4,1,163949,163942,398870.9,99717.7,389.52,20971520,327680,2.433,411.0,yes,14104,8040,0,87,13.9,ok
