tier,X,K,D,QB,model_bits,model_MB,bram18k_required,bram_capacity_pct,onchip_capacity_pct,fits_bram,fits_bram_uram,bytes_fetched,bw_GBps_available,bw_bound_cycles,effective_cycles,bw_limited,latency_cycles,interval,estimated_ns,fmax_MHz,LUT,LUT_pct,FF,FF_pct,DSP,DSP_pct,BRAM18K_reported,URAM_reported,part,tool_version,status
offchip,1,32,10240,4,327680,0.039,0,0.4,0.1,n/a,n/a,40960,14.4,853,853,yes,753,747,2.433,411.0,554098,42.5,187712,7.2,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,1,64,10240,4,655360,0.078,0,0.9,0.2,n/a,n/a,81920,14.4,1707,1707,yes,1393,1387,2.433,411.0,554104,42.5,187715,7.2,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,1,128,10240,4,1310720,0.156,0,1.8,0.4,n/a,n/a,163840,14.4,3413,3413,yes,2673,2667,2.433,411.0,554110,42.5,187718,7.2,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,1,256,10240,4,2621440,0.312,0,3.5,0.7,n/a,n/a,327680,14.4,6827,6827,yes,5233,5227,2.433,411.0,554116,42.5,187721,7.2,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,1,512,10240,4,5242880,0.625,0,7.1,1.5,n/a,n/a,655360,14.4,13653,13653,yes,10353,10347,2.433,411.0,554122,42.5,187724,7.2,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,1,1024,10240,4,10485760,1.25,0,14.1,2.9,n/a,n/a,1310720,14.4,27307,27307,yes,20593,20587,2.433,411.0,554128,42.5,187727,7.2,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,1,32,10240,4,327680,0.039,29,0.4,0.1,yes,yes,0,,,742,n/a,742,743,2.433,411.0,550330,42.21,48065,1.84,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,1,64,10240,4,655360,0.078,58,0.9,0.2,yes,yes,0,,,1382,n/a,1382,1383,2.433,411.0,550338,42.21,48072,1.84,0,0.0,59,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,1,128,10240,4,1310720,0.156,87,1.8,0.4,yes,yes,0,,,2662,n/a,2662,2663,2.433,411.0,550346,42.21,48079,1.84,0,0.0,87,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,1,256,10240,4,2621440,0.312,145,3.5,0.7,yes,yes,0,,,5223,n/a,5223,5224,2.433,411.0,550398,42.22,48147,1.85,0,0.0,144,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,1,512,10240,4,5242880,0.625,290,7.1,1.5,yes,yes,0,,,10343,n/a,10343,10344,2.433,411.0,550406,42.22,48154,1.85,0,0.0,144,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,1,1024,10240,4,10485760,1.25,580,14.1,2.9,yes,yes,0,,,20583,n/a,20583,20584,2.433,411.0,550414,42.22,48161,1.85,0,0.0,144,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,8,32,10240,4,2621440,0.312,0,3.5,0.7,n/a,n/a,327680,14.4,6827,6827,yes,5228,5222,2.433,411.0,17361,1.33,11402,0.44,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,8,64,10240,4,5242880,0.625,0,7.1,1.5,n/a,n/a,655360,14.4,13653,13653,yes,10348,10342,2.433,411.0,17367,1.33,11405,0.44,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,8,128,10240,4,10485760,1.25,0,14.1,2.9,n/a,n/a,1310720,14.4,27307,27307,yes,20588,20582,2.433,411.0,17373,1.33,11408,0.44,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,8,256,10240,4,20971520,2.5,0,28.2,5.9,n/a,n/a,2621440,14.4,54613,54613,yes,41068,41062,2.433,411.0,17379,1.33,11411,0.44,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,8,512,10240,4,41943040,5.0,0,56.4,11.7,n/a,n/a,5242880,14.4,109227,109227,yes,82028,82022,2.433,411.0,17385,1.33,11414,0.44,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,8,1024,10240,4,83886080,10.0,0,112.9,23.5,n/a,n/a,10485760,14.4,218453,218453,yes,163948,163942,2.433,411.0,17391,1.33,11417,0.44,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,8,32,10240,4,2621440,0.312,145,3.5,0.7,yes,yes,0,,,5223,n/a,5223,5224,2.433,411.0,15505,1.19,8943,0.34,0,0.0,144,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,8,64,10240,4,5242880,0.625,290,7.1,1.5,yes,yes,0,,,10343,n/a,10343,10344,2.433,411.0,15513,1.19,8950,0.34,0,0.0,144,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,8,128,10240,4,10485760,1.25,580,14.1,2.9,yes,yes,0,,,20583,n/a,20583,20584,2.433,411.0,15521,1.19,8957,0.34,0,0.0,144,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,8,256,10240,4,20971520,2.5,1160,28.2,5.9,yes,yes,0,,,41063,n/a,41063,41064,2.433,411.0,15511,1.19,8965,0.34,0,0.0,144,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,8,512,10240,4,41943040,5.0,2320,56.4,11.7,yes,yes,0,,,82023,n/a,82023,82024,2.433,411.0,15519,1.19,8972,0.34,0,0.0,144,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,8,1024,10240,4,83886080,10.0,4640,112.9,23.5,no,yes,0,,,163943,n/a,163943,163944,2.433,411.0,15527,1.19,8979,0.34,0,0.0,144,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,32,32,10240,4,10485760,1.25,0,14.1,2.9,n/a,n/a,1310720,14.4,27307,27307,yes,20588,20582,2.433,411.0,17088,1.31,10708,0.41,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,32,64,10240,4,20971520,2.5,0,28.2,5.9,n/a,n/a,2621440,14.4,54613,54613,yes,41068,41062,2.433,411.0,17094,1.31,10711,0.41,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,32,128,10240,4,41943040,5.0,0,56.4,11.7,n/a,n/a,5242880,14.4,109227,109227,yes,82028,82022,2.433,411.0,17100,1.31,10714,0.41,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,32,256,10240,4,83886080,10.0,0,112.9,23.5,n/a,n/a,10485760,14.4,218453,218453,yes,163948,163942,2.433,411.0,17106,1.31,10717,0.41,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,32,512,10240,4,167772160,20.0,0,225.7,46.9,n/a,n/a,20971520,14.4,436907,436907,yes,327788,327782,2.433,411.0,17112,1.31,10720,0.41,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
offchip,32,1024,10240,4,335544320,40.0,0,451.5,93.9,n/a,n/a,41943040,14.4,873813,873813,yes,655468,655462,2.433,411.0,17118,1.31,10723,0.41,0,0.0,45,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,32,32,10240,4,10485760,1.25,580,14.1,2.9,yes,yes,0,,,20583,n/a,20583,20584,2.433,411.0,15277,1.17,8315,0.32,0,0.0,144,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,32,64,10240,4,20971520,2.5,1160,28.2,5.9,yes,yes,0,,,41063,n/a,41063,41064,2.433,411.0,15267,1.17,8323,0.32,0,0.0,144,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,32,128,10240,4,41943040,5.0,2320,56.4,11.7,yes,yes,0,,,82023,n/a,82023,82024,2.433,411.0,15275,1.17,8330,0.32,0,0.0,144,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,32,256,10240,4,83886080,10.0,4640,112.9,23.5,no,yes,0,,,163943,n/a,163943,163944,2.433,411.0,15283,1.17,8337,0.32,0,0.0,144,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,32,512,10240,4,167772160,20.0,9280,225.7,46.9,no,yes,0,,,327783,n/a,327783,327784,2.433,411.0,15291,1.17,8344,0.32,0,0.0,144,0,xcu280-fsvh2892-2L-e,2023.1,ok
onchip,32,1024,10240,4,335544320,40.0,18560,451.5,93.9,no,yes,0,,,655463,n/a,655463,655464,2.433,411.0,15299,1.17,8351,0.32,0,0.0,144,0,xcu280-fsvh2892-2L-e,2023.1,ok
