function,DP,latency,LUT,FF,DSP,BRAM18K,URAM,status
bind,1,258,63,20,0,0,0,ok
bind,4,66,53,19,0,0,0,ok
bind,8,35,82,20,0,0,0,ok
bundle,1,258,100,21,0,0,0,ok
bundle,4,66,201,38,0,0,0,ok
bundle,8,34,357,54,0,0,0,ok
cast,1,258,61,20,0,0,0,ok
cast,4,66,45,19,0,0,0,ok
cast,8,34,45,18,0,0,0,ok
convergence,1,2562,320,95,0,0,0,ok
convergence,4,834,1633,659,0,0,0,ok
convergence,8,614,5175,1830,0,0,0,ok
flatten,1,16386,181,50,0,0,0,ok
flatten,4,4098,143,46,0,0,0,ok
flatten,8,2050,143,44,0,0,0,ok
gather,1,258,61,20,0,0,0,ok
gather,4,66,45,19,0,0,0,ok
gather,8,34,45,18,0,0,0,ok
gemm,1,262150,436,298,1,0,0,ok
gemm,4,8199,10595,3893,128,0,0,ok
gemm,8,2055,20714,6846,256,0,0,ok
init_centroids,1,2562,179,43,0,0,0,ok
init_centroids,4,642,158,39,0,0,0,ok
init_centroids,8,322,160,37,0,0,0,ok
matvec,1,16389,330,268,1,0,0,ok
matvec,4,528,10572,5164,128,0,0,ok
matvec,8,140,20668,7952,256,0,0,ok
normalize,1,652,1077,744,1,0,0,ok
normalize,4,461,2337,1220,1,0,0,ok
normalize,8,429,4011,1852,1,0,0,ok
permute,1,258,76,20,0,0,0,ok
permute,4,66,307,39,0,0,0,ok
permute,8,34,935,46,0,0,0,ok
place,1,16386,181,50,0,0,0,ok
place,4,4098,143,46,0,0,0,ok
place,8,2050,143,44,0,0,0,ok
scale,1,258,102,52,0,0,0,ok
scale,4,66,209,51,0,0,0,ok
scale,8,34,373,50,0,0,0,ok
similarity,1,2569,539,201,0,0,0,ok
similarity,4,618,1513,335,0,0,0,ok
similarity,8,338,3643,626,0,0,0,ok
threshold,1,258,100,52,0,0,0,ok
threshold,4,66,201,51,0,0,0,ok
threshold,8,35,378,52,0,0,0,ok
transpose,1,16386,198,50,0,0,0,ok
transpose,4,4098,155,46,0,0,0,ok
transpose,8,2050,155,44,0,0,0,ok
update,1,258,100,25,0,0,0,ok
update,4,66,201,54,0,0,0,ok
update,8,34,357,86,0,0,0,ok
