function,config,device,period_ns,D,KP,DP,CP,latency,LUT,FF,DSP,BRAM18K,URAM,status
bind,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,1,1,10243,84,48,0,0,0,ok
bind,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,2,1,5123,86,47,0,0,0,ok
bind,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,4,1,2564,102,50,0,0,0,ok
bind,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,8,1,1284,110,52,0,0,0,ok
bundle,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,1,1,10243,121,79,0,0,0,ok
bundle,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,2,1,5123,160,135,0,0,0,ok
bundle,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,4,1,2564,366,593,0,0,0,ok
bundle,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,8,1,1284,406,454,0,0,0,ok
cast,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,1,1,10243,82,48,0,0,0,ok
cast,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,2,1,5123,82,47,0,0,0,ok
cast,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,4,1,2563,82,47,0,0,0,ok
cast,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,8,1,1282,82,28,0,0,0,ok
convergence,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,1,1,655363,474,131,0,0,0,ok
convergence,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,1,2,327685,675,198,0,0,0,ok
convergence,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,1,4,163846,1095,389,0,0,0,ok
convergence,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,1,8,81927,1955,774,0,0,0,ok
convergence,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,2,1,327683,606,131,0,0,0,ok
convergence,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,4,1,163843,874,129,0,0,0,ok
convergence,u280,xcu280-fsvh2892-2L-e,3.333,10240,64,8,1,81924,1406,131,0,0,0,ok
