D,KP,DP,CP,knob,knob_value,latency,speedup,efficiency,LUT,LUT_growth,FF,DSP,BRAM18K,ideal,cls_trip,cls_loop,dim_trip,dim_loop,status
256,10,1,1,-,1,2564,1.0,1.0,428,1.0,129,0,0,1.0,2560,CLASS_GROUP_SEARCH_DIM,,,ok
256,10,1,2,CP,2,1285,1.995,0.998,664,1.551,327,0,0,2.0,1280,CLASS_GROUP_SEARCH_DIM,,,ok
256,10,1,4,CP,4,791,3.241,0.972,986,2.304,250,0,0,3.333,,,,,ok
256,10,1,8,CP,8,532,4.82,0.964,2033,4.75,456,0,0,5.0,,,,,ok
10240,64,1,1,-,1,655364,1.0,1.0,496,1.0,164,0,0,1.0,655360,CLASS_GROUP_SEARCH_DIM,,,ok
10240,64,1,2,CP,2,327685,2.0,1.0,748,1.508,363,0,0,2.0,327680,CLASS_GROUP_SEARCH_DIM,,,ok
10240,64,1,4,CP,4,163845,4.0,1.0,864,1.742,212,0,0,4.0,,,,,ok
10240,64,1,8,CP,8,81925,8.0,1.0,1351,2.724,269,0,0,8.0,,,,,ok
10240,64,4,1,DP,4,163846,4.0,1.0,642,1.294,416,0,0,4.0,,,,,ok
10240,64,8,1,DP,8,81926,7.999,1.0,686,1.383,417,0,0,8.0,,,,,ok
10240,256,1,1,-,1,2621444,1.0,1.0,510,1.0,174,0,0,1.0,2621440,CLASS_GROUP_SEARCH_DIM,,,ok
10240,256,1,2,CP,2,1310725,2.0,1.0,766,1.502,371,0,0,2.0,1310720,CLASS_GROUP_SEARCH_DIM,,,ok
10240,256,1,4,CP,4,655365,4.0,1.0,886,1.737,228,0,0,4.0,,,,,ok
10240,256,1,8,CP,8,327685,8.0,1.0,1375,2.696,285,0,0,8.0,,,,,ok
10240,1024,1,1,-,1,10485764,1.0,1.0,524,1.0,184,0,0,1.0,10485760,CLASS_GROUP_SEARCH_DIM,,,ok
10240,1024,1,2,CP,2,5242885,2.0,1.0,784,1.496,379,0,0,2.0,5242880,CLASS_GROUP_SEARCH_DIM,,,ok
10240,1024,1,4,CP,4,2621445,4.0,1.0,908,1.733,244,0,0,4.0,,,,,ok
10240,1024,1,8,CP,8,1310725,8.0,1.0,1399,2.67,301,0,0,8.0,,,,,ok
10240,1024,4,1,DP,4,2621446,4.0,1.0,670,1.279,432,0,0,4.0,,,,,ok
10240,1024,8,1,DP,8,1310726,8.0,1.0,714,1.363,433,0,0,8.0,,,,,ok
