function,device,DP,CP,QB,NP,datatype,memory_space,banking,port_width,latency,latency_unit,LUT,FF,DSP,BRAM18K,URAM,source
bind,xc7z020,8,1,,,binary,bram,1,,35,cyc/call,82,20,0,0,0,parallelism
bind,xc7z020,8,1,,,binary,bram,1,,35,cyc/call,82,20,0,0,0,datatype
bind,xc7z020,4,1,,,binary,bram,1,,66,cyc/call,53,19,0,0,0,parallelism
biohd_buffered_base,zcu104,,1,4,256,binary,offchip,1,512,13.598,cyc/cmp,26240,48872,0,44,,biohd_base
biohd_buffered_base,zcu104,,1,4,128,binary,offchip,1,512,13.695,cyc/cmp,26238,48870,0,44,,biohd_base
biohd_buffered_base,zcu104,,1,4,64,binary,offchip,1,512,13.891,cyc/cmp,26236,48868,0,44,,biohd_base
biohd_buffered_base,zcu104,,1,4,32,binary,offchip,1,512,14.281,cyc/cmp,26234,48866,0,44,,biohd_base
biohd_buffered_base,zcu104,,1,1,256,binary,offchip,1,512,54.137,cyc/cmp,8431,14053,0,44,,biohd_base
biohd_buffered_base,zcu104,,1,1,128,binary,offchip,1,512,54.273,cyc/cmp,8429,14051,0,44,,biohd_base
biohd_buffered_base,zcu104,,1,1,64,binary,offchip,1,512,54.547,cyc/cmp,8427,14049,0,44,,biohd_base
biohd_buffered_base,zcu104,,1,1,32,binary,offchip,1,512,55.094,cyc/cmp,8425,14047,0,44,,biohd_base
biohd_buffered_base,zcu104,,1,4,256,int32,offchip,1,512,323.348,cyc/cmp,13140,7161,0,58,,biohd_base
biohd_buffered_base,zcu104,,1,4,128,int32,offchip,1,512,323.445,cyc/cmp,13138,7159,0,58,,biohd_base
biohd_buffered_base,zcu104,,1,4,64,int32,offchip,1,512,323.641,cyc/cmp,13136,7157,0,58,,biohd_base
biohd_buffered_base,zcu104,,1,4,32,int32,offchip,1,512,324.031,cyc/cmp,13134,7155,0,58,,biohd_base
biohd_buffered_base,zcu104,,1,1,256,int32,offchip,1,512,1293.137,cyc/cmp,5657,4435,0,58,,biohd_base
biohd_buffered_base,zcu104,,1,1,128,int32,offchip,1,512,1293.273,cyc/cmp,5655,4433,0,58,,biohd_base
biohd_buffered_base,zcu104,,1,1,64,int32,offchip,1,512,1293.547,cyc/cmp,5653,4431,0,58,,biohd_base
biohd_buffered_base,zcu104,,1,1,32,int32,offchip,1,512,1294.094,cyc/cmp,5651,4429,0,58,,biohd_base
biohd_compose_search,zcu104,,1,4,256,binary,offchip,1,512,5.105,cyc/cmp,29876,54319,0,87,,biohd
biohd_compose_search,zcu104,,1,4,128,binary,offchip,1,512,5.211,cyc/cmp,29871,54316,0,87,,biohd
biohd_compose_search,zcu104,,1,4,64,binary,offchip,1,512,5.422,cyc/cmp,29866,54313,0,87,,biohd
biohd_compose_search,zcu104,,1,4,32,binary,offchip,1,512,5.844,cyc/cmp,29861,54310,0,87,,biohd
biohd_compose_search,zcu104,,1,1,256,binary,offchip,1,512,20.16,cyc/cmp,9449,15787,0,87,,biohd
biohd_compose_search,zcu104,,1,1,128,binary,offchip,1,512,20.32,cyc/cmp,9444,15784,0,87,,biohd
biohd_compose_search,zcu104,,1,1,64,binary,offchip,1,512,20.641,cyc/cmp,9439,15781,0,87,,biohd
biohd_compose_search,zcu104,,1,1,32,binary,offchip,1,512,21.281,cyc/cmp,9434,15778,0,87,,biohd
biohd_compose_search,zcu104,,1,4,256,int32,offchip,1,512,160.1,cyc/cmp,14104,8040,0,87,,biohd
biohd_compose_search,zcu104,,1,4,128,int32,offchip,1,512,160.199,cyc/cmp,14099,8037,0,87,,biohd
biohd_compose_search,zcu104,,1,4,64,int32,offchip,1,512,160.398,cyc/cmp,14094,8034,0,87,,biohd
biohd_compose_search,zcu104,,1,4,32,int32,offchip,1,512,160.797,cyc/cmp,14089,8031,0,87,,biohd
biohd_compose_search,zcu104,,1,1,256,int32,offchip,1,512,640.133,cyc/cmp,6080,4673,0,87,,biohd
biohd_compose_search,zcu104,,1,1,128,int32,offchip,1,512,640.266,cyc/cmp,6075,4670,0,87,,biohd
biohd_compose_search,zcu104,,1,1,64,int32,offchip,1,512,640.531,cyc/cmp,6070,4667,0,87,,biohd
biohd_compose_search,zcu104,,1,1,32,int32,offchip,1,512,641.062,cyc/cmp,6065,4664,0,87,,biohd
bundle,xc7z020,8,1,,,binary,bram,1,,34,cyc/call,357,54,0,0,0,parallelism
bundle,xc7z020,4,1,,,binary,bram,1,,66,cyc/call,201,38,0,0,0,parallelism
bundle,xc7z020,1,1,,,binary,bram,1,,258,cyc/call,100,21,0,0,0,parallelism
cast,xc7z020,8,1,,,binary,bram,1,,34,cyc/call,45,18,0,0,0,parallelism
convergence,xc7z020,8,1,,,binary,bram,1,,324,cyc/call,772,233,0,0,0,parallelism
convergence,xc7z020,4,1,,,binary,bram,1,,643,cyc/call,498,161,0,0,0,parallelism
convergence,xc7z020,1,1,,,binary,bram,1,,2562,cyc/call,320,95,0,0,0,parallelism
flatten,xc7z020,8,1,,,binary,bram,1,,2050,cyc/call,143,44,0,0,0,parallelism
gather,xc7z020,8,1,,,binary,bram,1,,34,cyc/call,45,18,0,0,0,parallelism
gemm,xc7z020,8,1,,,binary,bram,1,,2055,cyc/call,20714,6846,256,0,0,parallelism
gemm,xc7z020,4,1,,,binary,bram,1,,8199,cyc/call,10595,3893,128,0,0,parallelism
gemm,xc7z020,1,1,,,binary,bram,1,,262150,cyc/call,436,298,1,0,0,parallelism
hbm_gather,xc7z020,,,,,binary,offchip,1,512,14,cyc/hv,2045,2321,0,29,0,hbm
hbm_gather,xc7z020,,,,,binary,offchip,1,256,16,cyc/hv,1525,1533,0,15,0,hbm
hbm_gather,xc7z020,,,,,binary,offchip,1,128,20,cyc/hv,1262,1139,0,8,0,hbm
hbm_gather_cp,xc7z020,,8,,,binary,offchip,8,512,3.5,cyc/hv,15319,17850,0,232,0,hbm_cp
hbm_gather_cp,xc7z020,,4,,,binary,offchip,4,512,7.0,cyc/hv,7747,8978,0,116,0,hbm_cp
hbm_gather_cp,xc7z020,,2,,,binary,offchip,2,512,14.0,cyc/hv,3961,4542,0,58,0,hbm_cp
hbm_gather_cp,xc7z020,,1,,,binary,offchip,1,512,28.0,cyc/hv,2064,2324,0,29,0,hbm_cp
hbm_gather_cp_df,xc7z020,,8,,,binary,offchip,8,512,3.5,cyc/hv,28900,23239,0,464,0,hbm_cp_df
hbm_gather_cp_df,xc7z020,,4,,,binary,offchip,4,512,7.0,cyc/hv,14544,11671,0,232,0,hbm_cp_df
hbm_gather_cp_df,xc7z020,,2,,,binary,offchip,2,512,14.0,cyc/hv,7366,5887,0,116,0,hbm_cp_df
