P,bits,policy,storage,auc,signal_mean,signal_std,noise_mean,noise_std,peak_count,bits_needed,overflowed
50,1,wrap,"sign{-1,+1}",1.0,1134.72,110.003,2.832,99.013,28,6,0
50,1,saturate,"sign{-1,+1}",1.0,1134.72,110.003,2.832,99.013,28,6,0
50,1,scale,"sign{-1,+1}",1.0,1134.72,110.003,2.832,99.013,28,6,0
50,2,wrap,ap_int<2>,0.53136,19.36,120.963,0.772,143.098,28,6,1
50,2,saturate,ap_int<2>,1.0,1703.52,165.93,1.86,149.255,28,6,1
50,2,scale,ap_int<2>,1.0,113.08,18.569,0.268,18.32,28,6,1
50,4,wrap,ap_int<4>,0.6733,283.84,470.489,-1.836,450.217,28,6,1
50,4,saturate,ap_int<4>,1.0,7211.4,577.949,16.446,528.37,28,6,1
50,4,scale,ap_int<4>,1.0,2535.2,187.211,7.248,182.396,28,6,1
50,8,wrap,ap_int<8>,1.0,10116.16,756.401,23.892,711.959,28,6,0
50,8,saturate,ap_int<8>,1.0,10116.16,756.401,23.892,711.959,28,6,0
50,8,scale,ap_int<8>,1.0,10116.16,756.401,23.892,711.959,28,6,0
50,16,wrap,ap_int<16>,1.0,10116.16,756.401,23.892,711.959,28,6,0
50,16,saturate,ap_int<16>,1.0,10116.16,756.401,23.892,711.959,28,6,0
50,16,scale,ap_int<16>,1.0,10116.16,756.401,23.892,711.959,28,6,0
50,32,wrap,ap_int<32>,1.0,10116.16,756.401,23.892,711.959,28,6,0
50,32,saturate,ap_int<32>,1.0,10116.16,756.401,23.892,711.959,28,6,0
50,32,scale,ap_int<32>,1.0,10116.16,756.401,23.892,711.959,28,6,0
500,1,wrap,"sign{-1,+1}",0.993257,355.576,102.295,-2.8,100.283,100,8,0
500,1,saturate,"sign{-1,+1}",0.993257,355.576,102.295,-2.8,100.283,100,8,0
500,1,scale,"sign{-1,+1}",0.993257,355.576,102.295,-2.8,100.283,100,8,0
500,2,wrap,ap_int<2>,0.493059,-2.64,147.125,0.1,137.488,100,8,1
500,2,saturate,ap_int<2>,0.991054,532.484,162.458,-4.024,156.086,100,8,1
500,2,scale,ap_int<2>,0.888444,25.196,14.357,-0.012,14.807,100,8,1
500,4,wrap,ap_int<4>,0.500344,-0.896,462.016,0.036,471.1,100,8,1
500,4,saturate,ap_int<4>,0.996196,2616.836,695.983,-10.704,689.56,100,8,1
500,4,scale,ap_int<4>,0.999154,703.124,156.284,0.442,168.559,100,8,1
500,8,wrap,ap_int<8>,0.999276,9901.056,2172.02,-0.988,2315.88,100,8,0
500,8,saturate,ap_int<8>,0.999276,9901.056,2172.02,-0.988,2315.88,100,8,0
500,8,scale,ap_int<8>,0.999276,9901.056,2172.02,-0.988,2315.88,100,8,0
500,16,wrap,ap_int<16>,0.999276,9901.056,2172.02,-0.988,2315.88,100,8,0
500,16,saturate,ap_int<16>,0.999276,9901.056,2172.02,-0.988,2315.88,100,8,0
500,16,scale,ap_int<16>,0.999276,9901.056,2172.02,-0.988,2315.88,100,8,0
500,32,wrap,ap_int<32>,0.999276,9901.056,2172.02,-0.988,2315.88,100,8,0
500,32,saturate,ap_int<32>,0.999276,9901.056,2172.02,-0.988,2315.88,100,8,0
500,32,scale,ap_int<32>,0.999276,9901.056,2172.02,-0.988,2315.88,100,8,0
2000,1,wrap,"sign{-1,+1}",0.881204,177.113,98.568,8.302,102.416,174,9,0
2000,1,saturate,"sign{-1,+1}",0.881204,177.113,98.568,8.302,102.416,174,9,0
2000,1,scale,"sign{-1,+1}",0.881204,177.113,98.568,8.302,102.416,174,9,0
2000,2,wrap,ap_int<2>,0.492683,1.962,136.789,4.628,142.095,174,9,1
2000,2,saturate,ap_int<2>,0.870131,266.379,154.692,13.908,162.44,174,9,1
2000,2,scale,ap_int<2>,0.786991,25.489,22.665,-0.046,22.539,174,9,1
2000,4,wrap,ap_int<4>,0.502529,-0.818,476.275,-4.508,476.57,174,9,1
2000,4,saturate,ap_int<4>,0.893755,1323.34,706.491,50.89,733.963,174,9,1
2000,4,scale,ap_int<4>,0.929987,393.006,177.094,13.708,185.697,174,9,1
2000,8,wrap,ap_int<8>,0.919463,9189.278,4350.437,403.908,4511.251,174,9,1
2000,8,saturate,ap_int<8>,0.932152,9767.748,4354.406,355.294,4540.184,174,9,1
2000,8,scale,ap_int<8>,0.932091,7154.488,3187.306,260.062,3327.46,174,9,1
2000,16,wrap,ap_int<16>,0.932061,9802.91,4367.819,357.316,4559.896,174,9,0
2000,16,saturate,ap_int<16>,0.932061,9802.91,4367.819,357.316,4559.896,174,9,0
2000,16,scale,ap_int<16>,0.932061,9802.91,4367.819,357.316,4559.896,174,9,0
2000,32,wrap,ap_int<32>,0.932061,9802.91,4367.819,357.316,4559.896,174,9,0
2000,32,saturate,ap_int<32>,0.932061,9802.91,4367.819,357.316,4559.896,174,9,0
2000,32,scale,ap_int<32>,0.932061,9802.91,4367.819,357.316,4559.896,174,9,0
