P,bits,policy,seed,storage,auc,tpr_at_fpr,signal_mean,signal_std,noise_mean,noise_std,peak_count,bits_needed,overflowed
50,1,wrap,0,"sign{-1,+1}",1.0,1.0,1134.72,110.003,2.832,99.013,28,6,0
50,1,wrap,1,"sign{-1,+1}",1.0,1.0,1127.92,108.689,-1.322,97.854,26,6,0
50,1,wrap,2,"sign{-1,+1}",1.0,1.0,1131.84,89.999,0.95,98.583,28,6,0
50,1,wrap,3,"sign{-1,+1}",1.0,1.0,1113.8,90.129,1.376,96.656,26,6,0
50,1,wrap,4,"sign{-1,+1}",1.0,1.0,1107.84,101.538,-1.276,100.616,30,6,0
50,1,saturate,0,"sign{-1,+1}",1.0,1.0,1134.72,110.003,2.832,99.013,28,6,0
50,1,saturate,1,"sign{-1,+1}",1.0,1.0,1127.92,108.689,-1.322,97.854,26,6,0
50,1,saturate,2,"sign{-1,+1}",1.0,1.0,1131.84,89.999,0.95,98.583,28,6,0
50,1,saturate,3,"sign{-1,+1}",1.0,1.0,1113.8,90.129,1.376,96.656,26,6,0
50,1,saturate,4,"sign{-1,+1}",1.0,1.0,1107.84,101.538,-1.276,100.616,30,6,0
50,1,scale,0,"sign{-1,+1}",1.0,1.0,1134.72,110.003,2.832,99.013,28,6,0
50,1,scale,1,"sign{-1,+1}",1.0,1.0,1127.92,108.689,-1.322,97.854,26,6,0
50,1,scale,2,"sign{-1,+1}",1.0,1.0,1131.84,89.999,0.95,98.583,28,6,0
50,1,scale,3,"sign{-1,+1}",1.0,1.0,1113.8,90.129,1.376,96.656,26,6,0
50,1,scale,4,"sign{-1,+1}",1.0,1.0,1107.84,101.538,-1.276,100.616,30,6,0
50,2,wrap,0,ap_int<2>,0.53136,0.06,19.36,120.963,0.772,143.098,28,6,1
50,2,wrap,1,ap_int<2>,0.55832,0.08,26.72,153.914,1.684,141.475,26,6,1
50,2,wrap,2,ap_int<2>,0.50905,0.08,11.84,139.424,3.272,142.751,28,6,1
50,2,wrap,3,ap_int<2>,0.48359,0.02,-8.56,134.291,2.636,136.429,26,6,1
50,2,wrap,4,ap_int<2>,0.59538,0.08,37.28,154.304,-5.384,141.454,30,6,1
50,2,saturate,0,ap_int<2>,1.0,1.0,1703.52,165.93,1.86,149.255,28,6,1
50,2,saturate,1,ap_int<2>,1.0,1.0,1698.2,152.77,-2.304,152.685,26,6,1
50,2,saturate,2,ap_int<2>,1.0,1.0,1697.96,142.025,3.04,145.666,28,6,1
50,2,saturate,3,ap_int<2>,1.0,1.0,1664.4,132.261,2.548,143.261,26,6,1
50,2,saturate,4,ap_int<2>,1.0,1.0,1671.72,150.266,-4.218,151.258,30,6,1
50,2,scale,0,ap_int<2>,1.0,1.0,113.08,18.569,0.268,18.32,28,6,1
50,2,scale,1,ap_int<2>,1.0,1.0,193.36,19.928,0.066,25.051,26,6,1
50,2,scale,2,ap_int<2>,1.0,1.0,118.36,18.959,-0.26,18.163,28,6,1
50,2,scale,3,ap_int<2>,1.0,1.0,199.52,26.959,-0.332,25.216,26,6,1
50,2,scale,4,ap_int<2>,1.0,1.0,117.64,17.035,0.012,18.291,30,6,1
50,4,wrap,0,ap_int<4>,0.6733,0.18,283.84,470.489,-1.836,450.217,28,6,1
50,4,wrap,1,ap_int<4>,0.72247,0.2,384.8,478.164,-5.196,462.725,26,6,1
50,4,wrap,2,ap_int<4>,0.69844,0.24,381.6,548.74,1.08,469.258,28,6,1
50,4,wrap,3,ap_int<4>,0.63445,0.12,228.08,411.191,1.076,466.146,26,6,1
50,4,wrap,4,ap_int<4>,0.74104,0.28,482.08,538.856,10.88,470.517,30,6,1
50,4,saturate,0,ap_int<4>,1.0,1.0,7211.4,577.949,16.446,528.37,28,6,1
50,4,saturate,1,ap_int<4>,1.0,1.0,7165.44,486.608,-1.574,530.733,26,6,1
50,4,saturate,2,ap_int<4>,1.0,1.0,7181.68,452.66,6.376,513.502,28,6,1
50,4,saturate,3,ap_int<4>,1.0,1.0,7040.08,471.715,4.724,504.783,26,6,1
50,4,saturate,4,ap_int<4>,1.0,1.0,7008.44,467.347,-10.48,524.587,30,6,1
50,4,scale,0,ap_int<4>,1.0,1.0,2535.2,187.211,7.248,182.396,28,6,1
50,4,scale,1,ap_int<4>,1.0,1.0,2785.64,183.868,-0.52,204.647,26,6,1
50,4,scale,2,ap_int<4>,1.0,1.0,2515.76,152.483,0.044,176.263,28,6,1
50,4,scale,3,ap_int<4>,1.0,1.0,2751.84,191.471,0.436,191.341,26,6,1
50,4,scale,4,ap_int<4>,1.0,1.0,2170.28,137.022,-2.984,159.92,30,6,1
50,8,wrap,0,ap_int<8>,1.0,1.0,10116.16,756.401,23.892,711.959,28,6,0
50,8,wrap,1,ap_int<8>,1.0,1.0,10002.72,628.031,2.772,726.779,26,6,0
50,8,wrap,2,ap_int<8>,1.0,1.0,10082.08,643.065,0.088,685.679,28,6,0
50,8,wrap,3,ap_int<8>,1.0,1.0,9875.44,685.44,2.804,674.154,26,6,0
50,8,wrap,4,ap_int<8>,1.0,1.0,9812.0,588.378,-12.64,708.039,30,6,0
50,8,saturate,0,ap_int<8>,1.0,1.0,10116.16,756.401,23.892,711.959,28,6,0
50,8,saturate,1,ap_int<8>,1.0,1.0,10002.72,628.031,2.772,726.779,26,6,0
50,8,saturate,2,ap_int<8>,1.0,1.0,10082.08,643.065,0.088,685.679,28,6,0
50,8,saturate,3,ap_int<8>,1.0,1.0,9875.44,685.44,2.804,674.154,26,6,0
50,8,saturate,4,ap_int<8>,1.0,1.0,9812.0,588.378,-12.64,708.039,30,6,0
50,8,scale,0,ap_int<8>,1.0,1.0,10116.16,756.401,23.892,711.959,28,6,0
50,8,scale,1,ap_int<8>,1.0,1.0,10002.72,628.031,2.772,726.779,26,6,0
50,8,scale,2,ap_int<8>,1.0,1.0,10082.08,643.065,0.088,685.679,28,6,0
50,8,scale,3,ap_int<8>,1.0,1.0,9875.44,685.44,2.804,674.154,26,6,0
