P,bits,policy,storage,auc,auc_sd,tpr_mean,tpr_vs_int32,auc_vs_int32,KB_per_ref,blocks_per_ref,blocks_provenance,K_max_on_U280,capacity_gain,overflowed
50,1,saturate,"sign{-1,+1}",1.0,0.0,1.0,0.0,0.0,1.25,0.5664,measured,7118,32.06,0
50,1,scale,"sign{-1,+1}",1.0,0.0,1.0,0.0,0.0,1.25,0.5664,measured,7118,32.06,0
50,1,wrap,"sign{-1,+1}",1.0,0.0,1.0,0.0,0.0,1.25,0.5664,measured,7118,32.06,0
50,2,saturate,ap_int<2>,1.0,0.0,1.0,0.0,0.0,2.5,1.1328,scaled from X=1,3559,16.03,1
50,2,scale,ap_int<2>,1.0,0.0,1.0,0.0,0.0,2.5,1.1328,scaled from X=1,3559,16.03,1
50,2,wrap,ap_int<2>,0.53554,0.038776,0.064,-0.936,-0.46446,2.5,1.1328,scaled from X=1,3559,16.03,1
50,4,saturate,ap_int<4>,1.0,0.0,1.0,0.0,0.0,5.0,2.2656,scaled from X=1,1779,8.01,1
50,4,scale,ap_int<4>,1.0,0.0,1.0,0.0,0.0,5.0,2.2656,scaled from X=1,1779,8.01,1
50,4,wrap,ap_int<4>,0.69394,0.037464,0.204,-0.796,-0.30606,5.0,2.2656,scaled from X=1,1779,8.01,1
50,8,saturate,ap_int<8>,1.0,0.0,1.0,0.0,0.0,10.0,4.5312,measured,889,4.0,0
50,8,scale,ap_int<8>,1.0,0.0,1.0,0.0,0.0,10.0,4.5312,measured,889,4.0,0
50,8,wrap,ap_int<8>,1.0,0.0,1.0,0.0,0.0,10.0,4.5312,measured,889,4.0,0
50,16,saturate,ap_int<16>,1.0,0.0,1.0,0.0,0.0,20.0,9.0625,scaled from X=1,444,2.0,0
50,16,scale,ap_int<16>,1.0,0.0,1.0,0.0,0.0,20.0,9.0625,scaled from X=1,444,2.0,0
50,16,wrap,ap_int<16>,1.0,0.0,1.0,0.0,0.0,20.0,9.0625,scaled from X=1,444,2.0,0
50,32,saturate,ap_int<32>,1.0,0.0,1.0,0.0,0.0,40.0,18.125,measured,222,1.0,0
50,32,scale,ap_int<32>,1.0,0.0,1.0,0.0,0.0,40.0,18.125,measured,222,1.0,0
50,32,wrap,ap_int<32>,1.0,0.0,1.0,0.0,0.0,40.0,18.125,measured,222,1.0,0
500,1,saturate,"sign{-1,+1}",0.994198,0.001074,0.9708,-0.0264,-0.005071,1.25,0.5664,measured,7118,32.06,0
500,1,scale,"sign{-1,+1}",0.994198,0.001074,0.9708,-0.0264,-0.005071,1.25,0.5664,measured,7118,32.06,0
