app,D,config,latency,latency_ratio,LUT,LUT_vs_wide,FF,FF_vs_wide,DSP,BRAM18K,URAM,status
genome,1024,wide,8575,1.0,5185,0.0,856,0.0,0,0,0,ok
genome,1024,acc_only,8575,1.0,4305,16.97,632,26.17,0,0,0,ok
genome,1024,sim_only,8575,1.0,5085,1.93,836,2.34,0,0,0,ok
genome,1024,right,8575,1.0,4205,18.9,612,28.5,0,0,0,ok
genome,1024,short,8575,1.0,4200,19.0,611,28.62,0,0,0,ok
genome,10240,wide,84761,1.0,8022,0.0,5396,0.0,0,56,0,ok
genome,10240,acc_only,84761,1.0,7590,5.39,5172,4.15,0,32,0,ok
genome,10240,sim_only,84761,1.0,7937,1.06,5379,0.32,0,56,0,ok
genome,10240,right,84761,1.0,7505,6.44,5155,4.47,0,32,0,ok
genome,10240,short,84761,1.0,7500,6.51,5154,4.48,0,32,0,ok
image,1024,wide,10719,1.0,4386,0.0,865,0.0,0,0,0,ok
image,1024,acc_only,10719,1.0,3570,18.6,673,22.2,0,0,0,ok
image,1024,sim_only,10719,1.0,4286,2.28,845,2.31,0,0,0,ok
image,1024,right,10719,1.0,3470,20.88,653,24.51,0,0,0,ok
image,1024,short,10719,1.0,3465,21.0,652,24.62,0,0,0,ok
image,10240,wide,105233,1.0,4032,0.0,1102,0.0,0,64,0,ok
image,10240,acc_only,105233,1.0,3600,10.71,886,19.6,0,40,0,ok
image,10240,sim_only,105233,1.0,3947,2.11,1085,1.54,0,64,0,ok
image,10240,right,105233,1.0,3515,12.82,869,21.14,0,40,0,ok
image,10240,short,105233,1.0,3510,12.95,868,21.23,0,40,0,ok
ts,1024,wide,10589,1.0,4871,0.0,923,0.0,0,0,0,ok
ts,1024,acc_only,10589,1.0,3895,20.04,699,24.27,0,0,0,ok
ts,1024,sim_only,10589,1.0,4771,2.05,903,2.17,0,0,0,ok
ts,1024,right,10589,1.0,3795,22.09,679,26.44,0,0,0,ok
ts,1024,short,10589,1.0,3790,22.19,678,26.54,0,0,0,ok
ts,10240,wide,74455,1.0,8004,0.0,5396,0.0,0,56,0,ok
ts,10240,acc_only,74454,1.0,7476,6.6,5143,4.69,0,32,0,ok
ts,10240,sim_only,74455,1.0,7919,1.06,5379,0.32,0,56,0,ok
ts,10240,right,74454,1.0,7391,7.66,5126,5.0,0,32,0,ok
ts,10240,short,74454,1.0,7386,7.72,5125,5.02,0,32,0,ok
