function,device,datatype,D,KP,knob,knob_value,knob_dims,other_knobs,isolated_slice,latency,speedup,ideal_speedup,efficiency,LUT,FF,DSP,LUT_growth,return_per_area,class
bind,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,1,CP=1,1,10243.0,1.0,1.0,1.0,84,48,0,1.0,1.0,linear
bind,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,1,CP=1,1,5123.0,1.999,2.0,1.0,86,47,0,1.024,1.953,linear
bind,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,1,CP=1,1,2564.0,3.995,4.0,0.999,102,50,0,1.214,3.29,linear
bind,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,1,CP=1,1,1284.0,7.977,8.0,0.997,110,52,0,1.31,6.092,linear
bundle,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,1,CP=1,1,10243.0,1.0,1.0,1.0,121,79,0,1.0,1.0,linear
bundle,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,1,CP=1,1,5123.0,1.999,2.0,1.0,160,135,0,1.322,1.512,linear
bundle,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,1,CP=1,1,2564.0,3.995,4.0,0.999,366,593,0,3.025,1.321,linear
bundle,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,1,CP=1,1,1284.0,7.977,8.0,0.997,406,454,0,3.355,2.378,linear
cast,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,1,CP=1,1,10243.0,1.0,1.0,1.0,82,48,0,1.0,1.0,linear
cast,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,1,CP=1,1,5123.0,1.999,2.0,1.0,82,47,0,1.0,1.999,linear
cast,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,1,CP=1,1,2563.0,3.996,4.0,0.999,82,47,0,1.0,3.996,linear
cast,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,1,CP=1,1,1282.0,7.99,8.0,0.999,82,28,0,1.0,7.99,linear
convergence,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,1,CP=1,1,655363.0,1.0,1.0,1.0,474,131,0,1.0,1.0,linear
convergence,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,1,CP=1,1,327683.0,2.0,2.0,1.0,606,131,0,1.278,1.564,linear
convergence,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,1,CP=1,1,163843.0,4.0,4.0,1.0,874,129,0,1.844,2.169,linear
convergence,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,1,CP=1,1,81924.0,8.0,8.0,1.0,1406,131,0,2.966,2.697,linear
flatten,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,1,CP=1,1,655363.0,1.0,1.0,1.0,299,93,0,1.0,1.0,linear
flatten,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,1,CP=1,1,327683.0,2.0,2.0,1.0,293,90,0,0.98,2.041,linear
flatten,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,1,CP=1,1,163843.0,4.0,4.0,1.0,287,87,0,0.96,4.167,linear
flatten,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,1,CP=1,1,81923.0,8.0,8.0,1.0,281,84,0,0.94,8.512,linear
gather,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,1,CP=1,1,10244.0,1.0,1.0,1.0,154,44,0,1.0,1.0,linear
gather,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,1,CP=1,1,5124.0,1.999,2.0,1.0,152,43,0,0.987,2.026,linear
gather,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,1,CP=1,1,2564.0,3.995,4.0,0.999,150,42,0,0.974,4.102,linear
gather,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,1,CP=1,1,1284.0,7.978,8.0,0.997,148,41,0,0.961,8.302,linear
gemm,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,2,CP=1,1,135362.0,1.0,1.0,1.0,4336,3194,32,1.0,1.0,linear
gemm,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,2,CP=1,1,34370.0,3.938,4.0,0.985,5802,3937,64,1.338,2.943,linear
gemm,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,2,CP=1,1,9282.0,14.583,16.0,0.911,10670,5654,128,2.461,5.926,linear
gemm,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,2,CP=1,1,2882.0,46.968,64.0,0.734,20687,8762,256,4.771,9.845,linear
init_centroids,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,1,CP=1,1,655363.0,1.0,1.0,1.0,247,86,0,1.0,1.0,linear
init_centroids,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,1,CP=1,1,327683.0,2.0,2.0,1.0,243,83,0,0.984,2.033,linear
init_centroids,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,1,CP=1,1,163843.0,4.0,4.0,1.0,239,80,0,0.968,4.134,linear
init_centroids,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,1,CP=1,1,81923.0,8.0,8.0,1.0,235,77,0,0.951,8.408,linear
matvec,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,2,CP=1,1,327736.0,1.0,1.0,1.0,4435,2669,32,1.0,1.0,linear
matvec,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,2,CP=1,1,81945.0,3.999,4.0,1.0,6003,3682,64,1.354,2.955,linear
matvec,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,2,CP=1,1,20497.0,15.989,16.0,0.999,10789,4975,128,2.433,6.573,linear
matvec,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,2,CP=1,1,5133.0,63.849,64.0,0.998,20787,8456,256,4.687,13.622,linear
normalize,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,1,CP=1,1,20565.0,1.0,1.0,1.0,1017,688,1,1.0,1.0,linear
normalize,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,1,CP=1,1,15447.0,1.331,2.0,0.666,1490,865,1,1.465,0.909,sublinear
normalize,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,1,CP=1,1,12887.0,1.596,4.0,0.399,2401,1193,1,2.361,0.676,sublinear
normalize,xcu280-fsvh2892-2L-e,binary,10240,64,DP,8,1,CP=1,1,11607.0,1.772,8.0,0.221,4224,1849,1,4.153,0.427,saturating
permute,xcu280-fsvh2892-2L-e,binary,10240,64,DP,1,1,CP=1,1,10298.0,1.0,1.0,1.0,775,716,0,1.0,1.0,linear
permute,xcu280-fsvh2892-2L-e,binary,10240,64,DP,2,1,CP=1,1,5195.0,1.982,2.0,0.991,1234,1403,0,1.592,1.245,linear
permute,xcu280-fsvh2892-2L-e,binary,10240,64,DP,4,1,CP=1,1,5196.0,1.982,4.0,0.495,2537,2726,0,3.274,0.605,sublinear
